"Author..Citation.","Sample.ID","Total.Length..cm.","Total.Weight..g.","Sex.Ratio","Maturity","Age..Years.","d13C","d15N","Waterbody","Region","Location","Latitude","Longitude","Latitude.2","Longitude.2","Class","Species","Tissue","n_samples","n_indiv","Collection.Date","Sampling.Year","PFBS","PFHxS","PFOS","PFDS","PFEtCHxS","FBSA","PFOSA","NMeFOSA","NEtFOSA","PFBA","PFPeA","PFHxA","PFHpA","PFOA","PFNA","PFDA","PFUnA","PFDoA","PFTrDA","PFTeDA","PFHxDA","PFODA","PFPeDA","X8.2.FTUCA","X10.2.FTUCA","X6.6.PFPIA","X6.8.PFPIA","X6.2.diPAP","X8.2.diPAP","PFHpS","Gen.X","PFPrS","PFPeS","PFNS","Cl.PFOS","X4.2.FTSA","X6.2.FTSA","X8.2.FTSA","X6.2.FTCA","X8.2.FTCA","X10.2.FTCA","X6.2.FTOH","X8.2.FTOH","X10.2.FTOH","NMeFOSE","NEtFOSE","X8.2.Cl.PFESA","ADONA","X6.2.Cl.PFESA","NEtFOSAA","NMeFOSAA","PFDoS","X8.8.PFPIA","X6.10.PFPIA","X8.10.PFPIA","X6.12.PFPIA","X3.3.FTCA","X5.3.FTCA","X7.3.FTCA","FHUEA","FOUEA","FDUEA","FHxSA","NMeFBSA","FOSAA","X10.2.FTSA","PFHxPA","PFOPA","PFHxSAm","PFOSAm","PFHxSAmS","PFOSAmS","PFOANO","PFOSNO","PFOAB","PFOSB","X5.3.FTB","X5.1.2.FTB","X6.2.FTAB"
"#34 GLHHFTS (2010)","560183",32.28,NA,NA,NA,NA,NA,NA,"Lake Superior","WI","NCCAGL10-1005",46.77051,-91.62224,NA,NA,"Pisces","Round whitefish","Composite fillet",1,5,"9/1/10",2010,"<0.1","0.52","12",NA,NA,NA,"0.15",NA,NA,"<0.065","0.49","<0.071","<0.088","0.22","0.69","0.21","0.38","<0.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2010)","560079",35.42,NA,NA,NA,NA,NA,NA,"Lake Superior","WI","NCCAGL10-1028",46.81943,-91.33555,NA,NA,"Pisces","Round whitefish","Composite fillet",1,5,"9/18/10",2010,"<0.1","0.24","16",NA,NA,NA,"0.54",NA,NA,"0.45","0.63","0.23","<0.088","<0.1","1.8","0.67","1.1","0.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2010)","560236",35.12,NA,NA,NA,NA,NA,NA,"Lake Superior","WI","NCCAGL10-1009",46.95817,-90.84602,NA,NA,"Pisces","Round whitefish","Composite fillet",1,5,"9/14/10",2010,"<0.1","<0.12","8.6",NA,NA,NA,"<0.08",NA,NA,"<0.065","<0.13","<0.071","<0.088","<0.1","<0.083","<0.057","<0.104","<0.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2015)","793374",45.75,NA,NA,NA,NA,NA,NA,"Lake Erie","NY","GLNS15-1154",42.73212,-78.97097,NA,NA,"Pisces","Smallmouth bass","Composite fillet",1,2,"8/10/15",2015,"0.36","<0.63","19.2",NA,NA,NA,"<0.13",NA,NA,"<0.21","<0.24","<0.13","<0.13","<0.23","<0.12","1.96","4.42","1.29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2015)","793434",41.5,NA,NA,NA,NA,NA,NA,"Lake Erie","NY","GLNS15-1155",42.53829,-79.27533,NA,NA,"Pisces","Smallmouth bass","Composite fillet",1,2,"8/28/15",2015,"<0.36","<0.63","18.6",NA,NA,NA,"<0.13",NA,NA,"<0.21","<0.24","<0.13","<0.13","0.23","<0.12","2.26","5.29","1.81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2015)","793314",45.6,NA,NA,NA,NA,NA,NA,"Lake Erie","NY","GLNS15-1158",42.68146,-79.08613,NA,NA,"Pisces","Walleye","Composite fillet",1,2,"7/20/15",2015,"<0.36","<0.63","18.7",NA,NA,NA,"<0.13",NA,NA,"<0.21","<0.24","<0.13","<0.13","<0.23","0.36","1.24","1.02","0.36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2015)","806054",64.6,NA,NA,NA,NA,NA,NA,"Lake Erie","NY","GLNS15-1166",42.50444,-79.38348,NA,NA,"Pisces","Freshwater drum","Fillet",1,1,"8/27/15",2015,"<0.36","<0.63","6.14",NA,NA,NA,"<0.13",NA,NA,"<0.21","<0.24","<0.13","<0.13","<0.23","0.15","0.59","0.59","0.22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2015)","806614",38.78,NA,NA,NA,NA,NA,NA,"Lake Erie","NY","GLNS15-2139",42.63452,-79.11702,NA,NA,"Pisces","Smallmouth bass","Composite fillet",1,5,"9/1/15",2015,"<0.36","<0.63","31.1",NA,NA,NA,"<0.13",NA,NA,"<0.21","<0.24","<0.13","<0.13","<0.23","<0.12","2.44","2.47","0.91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2015)","806592",35.95,NA,NA,NA,NA,NA,NA,"Lake Erie","NY","GLNS15-2141",42.54468,-79.32787,NA,NA,"Pisces","White bass","Composite fillet",1,2,"8/31/15",2015,"<0.36","<0.63","45.5",NA,NA,NA,"0.18",NA,NA,"<0.21","<0.24","<0.13","<0.13","<0.23","1.38","2.72","1.85","0.64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2015)","793394",32.65,NA,NA,NA,NA,NA,NA,"Lake Erie","NY","GLNS15-2143",42.73754,-78.94866,NA,NA,"Pisces","Smallmouth bass","Composite fillet",1,2,"8/10/15",2015,"<0.36","<0.63","15.6",NA,NA,NA,"<0.13",NA,NA,"<0.21","<0.24","<0.13","<0.13","<0.23","<0.12","1.44","2.43","0.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2015)","793414",38.2,NA,NA,NA,NA,NA,NA,"Lake Erie","NY","GLNS15-2152",42.27493,-79.75375,NA,NA,"Pisces","Smallmouth bass","Fillet",1,1,"9/2/15",2015,"<0.36","<0.63","30.2",NA,NA,NA,"0.19",NA,NA,"<0.21","<0.24","<0.13","<0.13","<0.23","<0.12","2.17","2.45","1.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2015)","776854",30.1,NA,NA,NA,NA,NA,NA,"Lake Ontario","NY","GLNS15-1288",43.96827,-76.1154,NA,NA,"Pisces","White perch","Composite fillet",1,5,"8/6/15",2015,"<0.36","<0.63","56.5",NA,NA,NA,"0.16",NA,NA,"<0.21","<0.24","<0.13","<0.13","<0.23","0.39","2.74","3.36","1.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2015)","776794",50.75,NA,NA,NA,NA,NA,NA,"Lake Ontario","NY","GLNS15-1289",43.9136,-76.18341,NA,NA,"Pisces","Walleye","Composite fillet",1,2,"7/26/15",2015,"<0.36","<0.63","57.3",NA,NA,NA,"0.95",NA,NA,"<0.21","<0.24","<0.13","<0.13","<0.23","0.4","1.29","1.29","0.48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2015)","805514",52.43333333,NA,NA,NA,NA,NA,NA,"Lake Ontario","NY","GLNS15-1290",43.3582,-78.70273,NA,NA,"Pisces","Rainbow trout","Composite fillet",1,3,"9/22/15",2015,"<0.36","<0.63","25.9",NA,NA,NA,"<0.13",NA,NA,"<0.21","<0.24","<0.13","<0.13","<0.23","<0.12","0.44","0.23","0.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2015)","775714",70.875,NA,NA,NA,NA,NA,NA,"Lake Ontario","NY","GLNS15-1291",43.33797,-77.67321,NA,NA,"Pisces","Lake trout","Composite fillet",1,4,"9/22/15",2015,"<0.36","<0.63","33",NA,NA,NA,"<0.13",NA,NA,"<0.21","<0.24","<0.13","<0.13","<0.23","0.28","0.71","0.64","0.27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2015)","776754",62.2,NA,NA,NA,NA,NA,NA,"Lake Ontario","NY","GLNS15-1292",43.50622,-76.48772,NA,NA,"Pisces","Coho salmon","Composite fillet",1,2,"9/24/15",2015,"<0.36","<0.63","19.7",NA,NA,NA,"<0.13",NA,NA,"<0.21","<0.24","<0.13","<0.13","<0.23","0.22","<0.16","<0.17","<0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2015)","777794",48.9,NA,NA,NA,NA,NA,NA,"Lake Ontario","NY","GLNS15-1293",43.91219,-76.28412,NA,NA,"Pisces","Smallmouth bass","Composite fillet",1,2,"8/7/15",2015,"<0.36","<0.63","53.3",NA,NA,NA,"0.59",NA,NA,"<0.21","<0.24","<0.13","<0.13","<0.23","<0.12","2.42","5.7","1.69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2015)","775494",54.4,NA,NA,NA,NA,NA,NA,"Lake Ontario","NY","GLNS15-1294",43.31197,-78.889,NA,NA,"Pisces","Chinook salmon","Fillet",1,1,"9/17/15",2015,"<0.36","<0.63","35.7",NA,NA,NA,"<0.13",NA,NA,"<0.21","<0.24","<0.13","<0.13","<0.23","0.23","0.53","0.32","0.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2015)","780834",62.7,NA,NA,NA,NA,NA,NA,"Lake Ontario","NY","GLNS15-1295",43.2548,-77.48873,NA,NA,"Pisces","Lake trout","Fillet",1,1,"6/26/15",2015,"<0.36","<0.63","25.8",NA,NA,NA,"0.17",NA,NA,"<0.21","<0.24","<0.13","<0.13","<0.23","0.21","1.04","1.32","0.32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2015)","777854",58.75,NA,NA,NA,NA,NA,NA,"Lake Ontario","NY","GLNS15-1296",43.58759,-76.25065,NA,NA,"Pisces","Coho salmon","Composite fillet",1,2,"9/25/15",2015,"<0.36","<0.63","13.9",NA,NA,NA,"<0.13",NA,NA,"<0.21","<0.24","<0.13","<0.13","<0.23","<0.12","<0.16","<0.17","<0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2015)","805674",57.55,NA,NA,NA,NA,NA,NA,"Lake Ontario","NY","GLNS15-1297",44.07588,-76.377,NA,NA,"Pisces","Channel catfish","Composite fillet",1,2,"8/7/15",2015,"<0.36","<0.63","9.43",NA,NA,NA,"<0.13",NA,NA,"<0.21","<0.24","<0.13","<0.13","<0.23","<0.12","1.35","2.16","0.87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2015)","793014",73.86666667,NA,NA,NA,NA,NA,NA,"Lake Ontario","NY","GLNS15-1298",43.38127,-78.08532,NA,NA,"Pisces","Rainbow trout","Composite fillet",1,3,"9/24/15",2015,"<0.36","<0.63","22.5",NA,NA,NA,"0.24",NA,NA,"<0.21","<0.24","<0.13","<0.13","<0.23","0.23","0.38","0.22","0.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2015)","777814",67.6,NA,NA,NA,NA,NA,NA,"Lake Ontario","NY","GLNS15-1299",43.43145,-76.62718,NA,NA,"Pisces","Lake trout","Fillet",1,1,"9/19/15",2015,"<0.36","<0.63","22.5",NA,NA,NA,"0.19",NA,NA,"<0.21","<0.24","<0.13","<0.13","<0.23","<0.12","<0.16","0.21","<0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2015)","776574",77.1,NA,NA,NA,NA,NA,NA,"Lake Ontario","NY","GLNS15-1300",43.80338,-76.25182,NA,NA,"Pisces","Lake trout","Fillet",1,1,"9/9/15",2015,"<0.36","<0.63","8.88",NA,NA,NA,"<0.13",NA,NA,"<0.21","<0.24","<0.13","<0.13","<0.23","<0.12","<0.16","<0.17","<0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2015)","795774",45.65,NA,NA,NA,NA,NA,NA,"Lake Ontario","NY","GLNS15-1301",44.00532,-76.18596,NA,NA,"Pisces","Smallmouth bass","Composite fillet",1,2,"8/4/15",2015,"<0.36","<0.63","30.5",NA,NA,NA,"0.15",NA,NA,"<0.21","<0.24","<0.13","<0.13","<0.23","<0.12","1.35","3.68","1.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2015)","780894",70.25,NA,NA,NA,NA,NA,NA,"Lake Ontario","NY","GLNS15-1302",43.36138,-77.93097,NA,NA,"Pisces","Rainbow trout","Composite fillet",1,2,"9/24/15",2015,"<0.36","<0.63","3.55",NA,NA,NA,"<0.13",NA,NA,"<0.21","<0.24","<0.13","<0.13","<0.23","<0.12","<0.16","<0.17","<0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2015)","780874",54.55,NA,NA,NA,NA,NA,NA,"Lake Ontario","NY","GLNS15-1303",43.31913,-76.87901,NA,NA,"Pisces","Rainbow trout","Composite fillet",1,2,"10/17/15",2015,"<0.36","<0.63","25.5",NA,NA,NA,"<0.13",NA,NA,"<0.21","<0.24","<0.13","<0.13","<0.23","0.19","0.42","0.24","<0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2015)","776834",64.5,NA,NA,NA,NA,NA,NA,"Lake Ontario","NY","GLNS15-2185",43.34855,-78.79364,NA,NA,"Pisces","Chinook salmon","Fillet",1,1,"9/17/15",2015,"<0.36","<0.63","15.5",NA,NA,NA,"<0.13",NA,NA,"<0.21","<0.24","<0.13","<0.13","<0.23","0.12","0.19","<0.17","<0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2015)","780974",62.2,NA,NA,NA,NA,NA,NA,"Lake Ontario","NY","GLNS15-2186",43.30371,-77.03286,NA,NA,"Pisces","Lake trout","Fillet",1,1,"9/18/15",2015,"<0.36","<0.63","23.4",NA,NA,NA,"<0.13",NA,NA,"<0.21","<0.24","<0.13","<0.13","<0.23","0.12","0.23","<0.17","<0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2015)","775574",80.7,NA,NA,NA,NA,NA,NA,"Lake Ontario","NY","GLNS15-2187",43.28458,-77.59522,NA,NA,"Pisces","Lake trout","Fillet",1,1,"9/16/15",2015,"<0.36","<0.63","11.2",NA,NA,NA,"<0.13",NA,NA,"<0.21","<0.24","<0.13","<0.13","<0.23","0.19","0.33","0.22","<0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2015)","805634",61.9,NA,NA,NA,NA,NA,NA,"Lake Ontario","NY","GLNS15-2188",44.07005,-76.3923,NA,NA,"Pisces","Walleye","Composite fillet",1,2,"8/5/15",2015,"<0.36","<0.63","34.7",NA,NA,NA,"0.75",NA,NA,"<0.21","<0.24","<0.13","<0.13","<0.23","0.26","0.74","0.78","0.16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2015)","775674",55.73333333,NA,NA,NA,NA,NA,NA,"Lake Ontario","NY","GLNS15-2189",43.3668,-78.59714,NA,NA,"Pisces","Rainbow trout","Composite fillet",1,3,"9/22/15",2015,"<0.36","<0.63","21.7",NA,NA,NA,"<0.13",NA,NA,"<0.21","<0.24","<0.13","<0.13","<0.23","0.16","0.41","0.24","<0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2015)","780954",74.5,NA,NA,NA,NA,NA,NA,"Lake Ontario","NY","GLNS15-2190",43.32406,-76.80657,NA,NA,"Pisces","Lake trout","Fillet",1,1,"9/24/15",2015,"<0.36","<0.63","6.1",NA,NA,NA,"<0.13",NA,NA,"<0.21","<0.24","<0.13","<0.13","<0.23","0.15","0.25","<0.17","<0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2015)","775594",53.8,NA,NA,NA,NA,NA,NA,"Lake Ontario","NY","GLNS15-2191",43.31264,-77.66985,NA,NA,"Pisces","Brown trout","Composite fillet",1,5,"9/23/15",2015,"<0.36","<0.63","46.2",NA,NA,NA,"<0.13",NA,NA,"<0.21","<0.24","<0.13","<0.13","<0.23","0.38","1.2","1.55","0.68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#34 GLHHFTS (2015)","780994",30.72,NA,NA,NA,NA,NA,NA,"Lake Ontario","NY","GLNS15-2192",44.04449,-76.23753,NA,NA,"Pisces","Smallmouth bass","Composite fillet",1,5,"8/5/15",2015,"<0.36","<0.63","20.9",NA,NA,NA,"<0.13",NA,NA,"<0.21","<0.24","<0.13","<0.13","<0.23","<0.12","1.54","2.12","0.57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
