"Author..Citation.","Sample.ID","Total.Length..cm.","Total.Weight..g.","Sex.Ratio","Maturity","Revised_Maturity","Age..Years.","d13C","d15N","Waterbody","Water_Level","Waterbody_Type","Region","Location","Latitude","Longitude","Latitude.2","Longitude.2","Class","Species","Revised_Species","Trophic_Level","Tissue","Revised_Tissue","Composite","n_samples","n_indiv","Collection.Date","Season","Sampling.Year","PFOS","PFDS","PFEtCHxS","PFNA","PFDA","PFUnA","PFDoA","PFTrDA","PFTeDA","PFPeDA"
"#25 Dykstra et al (2021)","62944531",NA,4300,0,"Nestling","Juvenile/Immature",0.163068493,NA,NA,"Lake Superior",183.29,"Lake","APIS","ROCKY ISLAND - ASHLAND COUNTY",47.05085,-90.65731,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,"7/12/02","Summer",2002,170,7.5,NA,30,18,36,7.6,14,1.9,NA
"#25 Dykstra et al (2021)","62944528",NA,4800,1,"Nestling","Juvenile/Immature",0.155780822,NA,NA,"Lake Superior",183.29,"Lake","APIS","MICHIGAN ISLAND, ASHLAND COUNTY",46.89591,-90.44984,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,"6/25/02","Summer",2002,290,13,NA,33,26,57,16,17,2.4,NA
"#25 Dykstra et al (2021)","62922355",NA,4500,0,"Nestling","Juvenile/Immature",0.148876712,NA,NA,"Lake Superior",183.32,"Lake","APIS","LONG ISLAND, ASHLAND COUNTY",46.728083,-90.787305,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,"6/15/98","Summer",1998,160,7.5,NA,8.4,6.6,11,3.8,5.8,0.83,NA
"#25 Dykstra et al (2021)","62922292",NA,3300,0,"Nestling","Juvenile/Immature",0.121260274,NA,NA,"Lake Superior",183.32,"Lake","LSSS","BARK RIVER, BAYFIELD COUNTY",46.852395,-91.198373,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,"6/13/98","Summer",1998,140,10,NA,12,8.4,17,3.5,6.5,0.75,NA
"#25 Dykstra et al (2021)","62940401",NA,4600,1,"Nestling","Juvenile/Immature",0.167287671,NA,NA,"Lake Superior",183.34,"Lake","LSSS","BARK BAY, BAYFIELD COUNTY",46.847,-91.16636,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,"6/22/95","Summer",1995,120,11,NA,9.2,8.4,15,4,5.1,0.56,NA
"#25 Dykstra et al (2021)","62940474",NA,4300,0,"Nestling","Juvenile/Immature",0.163068493,NA,NA,"Lake Superior",183.55,"Lake","LSSS","BARK RIVER, BAYFIELD COUNTY",46.847,-91.16636,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,"6/24/96","Summer",1996,180,12,NA,16,12,20,5,9.1,0.96,NA
"#25 Dykstra et al (2021)","62922258",NA,3900,0,"Nestling","Juvenile/Immature",0.158849315,NA,NA,"Lake Superior",183.6,"Lake","LSSS","BARK RIVER, BAYFIELD COUNTY",46.847,-91.16636,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,"6/21/97","Summer",1997,170,16,NA,16,9.7,21,4.6,7.4,0.92,NA
"#25 Dykstra et al (2021)","62940403",NA,4550,1,"Nestling","Juvenile/Immature",0.13890411,NA,NA,"Lake Superior",183.34,"Lake","LSSS","REEFER CR / ORIENTA, BAYFIELD COUNTY",46.756529,-91.519187,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,"6/22/95","Summer",1995,170,24,NA,14,14,25,6.8,8.9,1.1,NA
"#25 Dykstra et al (2021)","62940473",NA,4500,1,"Nestling","Juvenile/Immature",0.168438356,NA,NA,"Lake Superior",183.55,"Lake","LSSS","REEFER CR, BAYFIELD COUNTY",46.756529,-91.519187,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,"6/24/96","Summer",1996,210,11,NA,17,14,31,7.5,9.8,1.2,NA
"#25 Dykstra et al (2021)","62922325",NA,4400,1,"Nestling","Juvenile/Immature",0.137369863,NA,NA,"Lake Superior",183.18,"Lake","APIS","SAND ISLAND, BAYFIELD COUNTY",46.94514137,-91.03490724,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,"6/23/00","Summer",2000,200,8.3,NA,25,14,34,7.7,10,1.4,NA
"#25 Dykstra et al (2021)","62940479",NA,3850,NA,"Nestling","Juvenile/Immature",0.15539726,NA,NA,"Lake Superior",183.55,"Lake","LSSS","AMNICON R., DOUGLAS COUNTY",46.68328,-91.84444,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,"6/28/96","Summer",1996,170,18,NA,13,11,24,6,8.4,1.2,NA
"#25 Dykstra et al (2021)","62936500",NA,NA,1,"Nestling","Juvenile/Immature",0.121643836,NA,NA,"Lake Superior",183.34,"Inland waters","LSSS","AMNICON R., DOUGLAS COUNTY",46.67318401,-91.87260545,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,"6/22/95","Summer",1995,98,14,NA,7,5.5,12,3.4,5.6,0.59,NA
"#25 Dykstra et al (2021)","62922270",NA,3800,0,"Nestling","Juvenile/Immature",0.179178082,NA,NA,"Lake Superior",183.6,"Inland waters","LSSS","RED RIVER, DOUGLAS COUNTY",46.643985,-92.234801,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,"6/25/97","Summer",1997,280,54,NA,8.8,9.1,16,3.8,5.4,0.61,NA
"#25 Dykstra et al (2021)","62922293",NA,5200,1,"Nestling","Juvenile/Immature",0.162684932,NA,NA,"Lake Superior",183.32,"Inland waters","LSSS","RED RIVER, DOUGLAS COUNTY",46.643985,-92.234801,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,"6/14/98","Summer",1998,440,50,NA,8.2,7.3,13,3.4,5,0.69,NA
"#25 Dykstra et al (2021)","62943310",NA,3700,0,"Nestling","Juvenile/Immature",0.148876712,NA,NA,"Lake Superior",183.2,"Inland waters","LSSS","RED RIVER, DOUGLAS COUNTY",46.647507,-92.230688,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,"6/18/01","Summer",2001,190,21,NA,5.7,6.1,9.7,3,5.3,0.95,NA
"#25 Dykstra et al (2021)","62940482",NA,4550,NA,"Nestling","Juvenile/Immature",0.141589041,NA,NA,"Lake Superior",183.55,"Lake","LSSS","MOUTH OF BRULE, DOUGLAS COUNTY",46.74154322,-91.62560988,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,"6/28/96","Summer",1996,270,14,NA,15,17,35,9.5,17,2.4,NA
"#25 Dykstra et al (2021)","62940477",NA,3500,0,"Nestling","Juvenile/Immature",0.108219178,NA,NA,"Lake Superior",183.55,"Lake","LSSS","CHEQUAMEGAN PT - ASHLAND COUNTY",46.674367,-90.712895,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,"6/25/96","Summer",1996,250,24,NA,1.5,4.2,9.3,2.8,3.6,0.49,NA
"#25 Dykstra et al (2021)","GLKN2006B048",NA,3070,1,"Nestling","Juvenile/Immature",0.095890411,NA,NA,"Lake Superior",183.18,"Lake","APIS","Outer Island - North",47.0730687,-90.42192563,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2006,130,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#25 Dykstra et al (2021)","GLKN2006B046",NA,2270,0,"Nestling","Juvenile/Immature",0.082191781,NA,NA,"Lake Superior",183.18,"Lake","APIS","Rocky Island - North",47.05148704,-90.65441634,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2006,120,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#25 Dykstra et al (2021)","GLKN2006B047",NA,4270,1,"Nestling","Juvenile/Immature",0.117808219,NA,NA,"Lake Superior",183.18,"Lake","APIS","North Twin Island",47.06822871,-90.58704212,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2006,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#25 Dykstra et al (2021)","GLKN2006B050",NA,3370,0,"Nestling","Juvenile/Immature",0.115068493,NA,NA,"Lake Superior",183.18,"Lake","APIS","Bear Island",47.01624565,-90.76130955,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2006,230,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#25 Dykstra et al (2021)","GLKN2006B051",NA,4270,1,"Nestling","Juvenile/Immature",0.126027397,NA,NA,"Lake Superior",183.18,"Lake","APIS","Rocky Island - South",47.02264863,-90.68488623,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2006,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#25 Dykstra et al (2021)","GLKN2006B049",NA,3270,0,"Nestling","Juvenile/Immature",0.126027397,NA,NA,"Lake Superior",183.18,"Lake","APIS","Outer Island - South",47.00443765,-90.44082535,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2006,330,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#25 Dykstra et al (2021)","GLKN2006B044",NA,3370,1,"Nestling","Juvenile/Immature",0.095890411,NA,NA,"Lake Superior",183.18,"Lake","APIS","Sand Island",46.97935678,-90.95142206,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2006,93,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#25 Dykstra et al (2021)","GLKN2006B043",NA,3070,0,"Nestling","Juvenile/Immature",0.106849315,NA,NA,"Lake Superior",183.18,"Lake","APIS","Sand Bay / Sand River",46.92612972,-90.9448138,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2006,190,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#25 Dykstra et al (2021)","GLKN2006B019",NA,3470,0,"Nestling","Juvenile/Immature",0.134246575,NA,NA,"Lake Superior",183.18,"Inland waters","L-SACN","High Bridge",46.38900174,-90.7384711,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2006,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#25 Dykstra et al (2021)","GLKN2006B029",NA,3270,0,"Nestling","Juvenile/Immature",0.145205479,NA,NA,"Lake Superior",183.18,"Inland waters","U-SACN","Namekagon / St Croix Confluence",46.08780303,-92.17857005,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2006,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#25 Dykstra et al (2021)","GLKN2006B041",NA,2870,0,"Nestling","Juvenile/Immature",0.101369863,NA,NA,"Lake Superior",183.18,"Inland waters","U-SACN","Upper Namekagon",46.06344831,-92.06601399,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2006,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#25 Dykstra et al (2021)","GLKN2006B032",NA,3170,0,"Nestling","Juvenile/Immature",0.145205479,NA,NA,"Lake Superior",183.18,"Inland waters","U-SACN","Gordon Dam",46.2550501,-91.92725587,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2006,29,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#25 Dykstra et al (2021)","GLKN2006B039",NA,3570,1,"Nestling","Juvenile/Immature",0.106849315,NA,NA,"Lake Superior",183.18,"Inland waters","U-SACN","Pacwawong Lake",46.15108372,-91.34475141,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2006,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#25 Dykstra et al (2021)","GLKN2007B036",NA,2620,0,"Nestling","Juvenile/Immature",0.098630137,NA,NA,"Lake Superior",182.98,"Lake","APIS","Outer Island - North",47.0730687,-90.42192563,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2007,150,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#25 Dykstra et al (2021)","GLKN2007B034",NA,3220,1,"Nestling","Juvenile/Immature",0.087671233,NA,NA,"Lake Superior",182.98,"Lake","APIS","North Twin Island",47.06822871,-90.58704212,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2007,140,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#25 Dykstra et al (2021)","GLKN2007B040",NA,3870,1,"Nestling","Juvenile/Immature",0.117808219,NA,NA,"Lake Superior",182.98,"Lake","APIS","Madline Island - Southwest",46.78864937,-90.77735287,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2007,120,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#25 Dykstra et al (2021)","GLKN2007B042",NA,2470,1,"Nestling","Juvenile/Immature",0.084931507,NA,NA,"Lake Superior",182.98,"Lake","APIS","Madeline Island - East",46.79927244,-90.66459598,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2007,110,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#25 Dykstra et al (2021)","GLKN2007B039",NA,3470,1,"Nestling","Juvenile/Immature",0.115068493,NA,NA,"Lake Superior",182.98,"Lake","APIS","Meech (Madeline Island)",46.7822545,-90.76922124,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2007,93,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#25 Dykstra et al (2021)","GLKN2007B037",NA,3070,0,"Nestling","Juvenile/Immature",0.109589041,NA,NA,"Lake Superior",182.98,"Lake","APIS","Sand Bay / Sand River",46.92612972,-90.9448138,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2007,370,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#25 Dykstra et al (2021)","GLKN2007B014",NA,2670,1,"Nestling","Juvenile/Immature",0.095890411,NA,NA,"Lake Superior",182.98,"Inland waters","L-SACN","High Bridge",46.38900174,-90.7384711,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2007,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#25 Dykstra et al (2021)","GLKN2007B051",NA,2820,0,"Nestling","Juvenile/Immature",0.112328767,NA,NA,"Lake Superior",182.98,"Lake","LSSS","Washburn",46.68307216,-90.86641548,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2007,150,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#25 Dykstra et al (2021)","GLKN2007B052",NA,3170,1,"Nestling","Juvenile/Immature",0.136986301,NA,NA,"Lake Superior",182.98,"Lake","LSSS","Cranberry River",46.8266903,-91.27001114,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2007,160,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#25 Dykstra et al (2021)","GLKN2007B045",NA,2670,0,"Nestling","Juvenile/Immature",0.126027397,NA,NA,"Lake Superior",182.98,"Inland waters","LSSS","Little Pokegama Bay",46.67305545,-92.17990406,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2007,270,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#25 Dykstra et al (2021)","GLKN2007B047",NA,4120,1,"Nestling","Juvenile/Immature",0.136986301,NA,NA,"Lake Superior",182.98,"Lake","LSSS","Wis Pt / Allouez Bay / Moccasin Mike",46.70229546,-92.01080472,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2007,190,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#25 Dykstra et al (2021)","GLKN2007B054",NA,3270,0,"Nestling","Juvenile/Immature",0.139726027,NA,NA,"Lake Superior",182.98,"Lake","LSSS","Haukkala Creek",46.71737552,-91.71701224,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2007,86,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#25 Dykstra et al (2021)","GLKN2007B049",NA,3670,0,"Nestling","Juvenile/Immature",0.150684932,NA,NA,"Lake Superior",182.98,"Lake","LSSS","Amnicon River / Hanson Creek",46.68744737,-91.85224243,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2007,290,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#25 Dykstra et al (2021)","GLKN2007B027",NA,3500,1,"Nestling","Juvenile/Immature",0.101369863,NA,NA,"Lake Superior",182.98,"Inland waters","U-SACN","Riverside",46.07798685,-92.24468798,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2007,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#25 Dykstra et al (2021)","GLKN2007B026",NA,2070,0,"Nestling","Juvenile/Immature",0.079452055,NA,NA,"Lake Superior",182.98,"Inland waters","U-SACN","Big Island",46.08037023,-92.22256448,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2007,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#25 Dykstra et al (2021)","GLKN2007B032",NA,2370,0,"Nestling","Juvenile/Immature",0.104109589,NA,NA,"Lake Superior",182.98,"Inland waters","U-SACN","Gordon Dam",46.2550501,-91.92725587,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2007,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#25 Dykstra et al (2021)","GLKN2007B031",NA,4520,1,"Nestling","Juvenile/Immature",0.134246575,NA,NA,"Lake Superior",182.98,"Inland waters","U-SACN","Phipps Flowage 2",46.06421371,-91.42685941,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2007,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#25 Dykstra et al (2021)","GLKN2008B052",NA,2150,1,"Nestling","Juvenile/Immature",0.071232877,NA,NA,"Lake Superior",183.21,"Lake","APIS","Outer Island - North",47.0730687,-90.42192563,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2008,150,2.4,NA,50,40,47,8.4,10,0.84,NA
"#25 Dykstra et al (2021)","GLKN2008B053",NA,3100,0,"Nestling","Juvenile/Immature",0.101369863,NA,NA,"Lake Superior",183.21,"Lake","APIS","North Twin Island",47.06822871,-90.58704212,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2008,250,4.5,NA,60,35,65,10,13,1.1,NA
"#25 Dykstra et al (2021)","GLKN2008B059",NA,4000,0,"Nestling","Juvenile/Immature",0.126027397,NA,NA,"Lake Superior",183.21,"Lake","APIS","Madeline Island / Steamboat Point",46.87244504,-90.60798709,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2008,130,1.5,NA,47,21,37,7.3,11,0.97,NA
"#25 Dykstra et al (2021)","GLKN2008B051",NA,3750,1,"Nestling","Juvenile/Immature",0.126027397,NA,NA,"Lake Superior",183.21,"Lake","APIS","Outer Island - South",47.00443765,-90.44082535,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2008,190,5,NA,73,0.113895830290054,93,21,23,1.6,NA
"#25 Dykstra et al (2021)","GLKN2008B057",NA,3550,0,"Nestling","Juvenile/Immature",0.126027397,NA,NA,"Lake Superior",183.21,"Lake","APIS","Meech (Madeline Island)",46.7822545,-90.76922124,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2008,140,2.5,NA,50,17,47,7.4,14,1.1,NA
"#25 Dykstra et al (2021)","GLKN2008B066",NA,4500,1,"Nestling","Juvenile/Immature",0.128767123,NA,NA,"Lake Superior",183.21,"Lake","LSSS","Bark Bay / Bark River",46.84339624,-91.16959538,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2008,140,3,NA,41,14,43,9.6,15,1.3,NA
"#25 Dykstra et al (2021)","GLKN2008B061",NA,5150,1,"Nestling","Juvenile/Immature",0.189041096,NA,NA,"Lake Superior",183.21,"Lake","LSSS","Barksdale",46.62092207,-90.92922414,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2008,180,5.2,NA,16,8.8,31,7.1,7.8,0.95,NA
"#25 Dykstra et al (2021)","GLKN2008B054",NA,3800,1,"Nestling","Juvenile/Immature",0.115068493,NA,NA,"Lake Superior",183.21,"Lake","LSSS","Washburn",46.68307216,-90.86641548,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2008,120,2.3,NA,11,9.3,22,5.1,4.4,0.43,NA
"#25 Dykstra et al (2021)","GLKN2008B064",NA,5000,1,"Nestling","Juvenile/Immature",0.161643836,NA,NA,"Lake Superior",183.21,"Lake","LSSS","Spirit Point",46.88278468,-91.09035705,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2008,170,4.3,NA,57,11,55,12,19,1.6,NA
"#25 Dykstra et al (2021)","GLKN2009B47B",NA,3400,1,"Nestling","Juvenile/Immature",0.084931507,NA,NA,"Lake Superior",183.26,"Inland waters","L-SACN","High Bridge",46.38900174,-90.7384711,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2009,690,310,NA,3.5,26,9.6,18,3.6,2,NA
"#25 Dykstra et al (2021)","GLKN2010B072",NA,3600,1,"Nestling","Juvenile/Immature",0.109589041,NA,NA,"Lake Superior",183.15,"Lake","APIS","Outer Island - North",47.0730687,-90.42192563,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2010,110,1,NA,47,20.7,36.6,7,15.9,1.7,NA
"#25 Dykstra et al (2021)","GLKN2010B070",NA,2200,0,"Nestling","Juvenile/Immature",0.093150685,NA,NA,"Lake Superior",183.15,"Lake","APIS","North Twin Island",47.06822871,-90.58704212,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2010,71,0.25,NA,24,10.5,20.4,4.6,9,1,NA
"#25 Dykstra et al (2021)","GLKN2010B066",NA,3900,1,"Nestling","Juvenile/Immature",0.106849315,NA,NA,"Lake Superior",183.15,"Lake","APIS","Michigan Island",46.88313184,-90.4793574,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2010,88,1.5,NA,36,19.4,37.3,8.1,16.7,1.7,NA
"#25 Dykstra et al (2021)","GLKN2010B064",NA,4400,1,"Nestling","Juvenile/Immature",0.136986301,NA,NA,"Lake Superior",183.15,"Lake","APIS","Madline Island - Southwest",46.78864937,-90.77735287,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2010,130,3.7,NA,57,22.3,41.6,8.7,16.7,2,NA
"#25 Dykstra et al (2021)","GLKN2010B074",NA,3500,1,"Nestling","Juvenile/Immature",0.104109589,NA,NA,"Lake Superior",183.15,"Lake","APIS","Rocky Island - South",47.02264863,-90.68488623,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2010,98,1.9,NA,54,23.5,39.2,8.8,13.2,1.5,NA
"#25 Dykstra et al (2021)","GLKN2010B062",NA,4500,1,"Nestling","Juvenile/Immature",0.131506849,NA,NA,"Lake Superior",183.15,"Lake","APIS","Madeline Island - East",46.79927244,-90.66459598,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2010,100,1.4,NA,52,17,34.7,7.3,12.3,1.4,NA
"#25 Dykstra et al (2021)","GLKN2010B075",NA,4300,1,"Nestling","Juvenile/Immature",0.117808219,NA,NA,"Lake Superior",183.15,"Lake","APIS","Otter Island South",46.98502383,-90.70117795,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2010,120,1.9,NA,47,25.4,46.5,10,17.8,1.8,NA
"#25 Dykstra et al (2021)","GLKN2010B076",NA,3700,0,"Nestling","Juvenile/Immature",0.145205479,NA,NA,"Lake Superior",183.15,"Lake","APIS","York Island",46.98342896,-90.86301815,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2010,140,3.2,NA,54,22.7,37.1,8.6,15.2,1.4,NA
"#25 Dykstra et al (2021)","GLKN2010B067",NA,3700,0,"Nestling","Juvenile/Immature",0.126027397,NA,NA,"Lake Superior",183.15,"Lake","APIS","Squaw Bay / Meyers Beach",46.88774364,-91.04173131,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2010,120,3.4,NA,55,24.6,46.7,10.8,14,1.5,NA
"#25 Dykstra et al (2021)","GLKN2010B044",NA,3200,0,"Nestling","Juvenile/Immature",0.109589041,NA,NA,"Lake Superior",183.15,"Inland waters","L-SACN","High Bridge",46.38900174,-90.7384711,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2010,540,200,NA,4.4,17.3,8,4.4,1.5,0.76,NA
"#25 Dykstra et al (2021)","GLKN2010B056",NA,4100,1,"Nestling","Juvenile/Immature",0.153424658,NA,NA,"Lake Superior",183.15,"Inland waters","U-SACN","Big Island",46.08037023,-92.22256448,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2010,24,1.1,NA,2.5,2.7,3.6,0.71,0.52,0.15,NA
"#25 Dykstra et al (2021)","GLKN2010B061",NA,4300,1,"Nestling","Juvenile/Immature",0.150684932,NA,NA,"Lake Superior",183.15,"Inland waters","U-SACN","Namekagon River North",46.09397912,-92.12108086,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2010,36,3,NA,4.3,4.1,5.1,1.2,0.61,0.17,NA
"#25 Dykstra et al (2021)","GLKN2010B060",NA,4100,1,"Nestling","Juvenile/Immature",0.139726027,NA,NA,"Lake Superior",183.15,"Inland waters","U-SACN","Phipps Flowage",46.06648057,-91.41684182,NA,NA,"Aves","Bald eagle","Bald eagle","Apex Predator","Plasma","Blood","No",1,1,NA,NA,2010,23,1.2,NA,3.3,2.2,3.1,0.84,0.43,0.17,NA
