Author..Citation.,Sample.ID,Total.Length..cm.,Total.Weight..g.,Sex.Ratio,Maturity,Revised_Maturity,Age..Years.,d13C,d15N,Waterbody,Water_Level,Waterbody_Type,Region,Location,Latitude,Longitude,Latitude.2,Longitude.2,Class,Species,Revised_Species,Trophic_Level,Tissue,Revised_Tissue,Composite,n_samples,n_indiv,Collection.Date,Season,Sampling.Year,PFOS,PFDS,PFEtCHxS,PFNA,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFPeDA
#34 GLHHFTS (2010),560027,39.2,NA,NA,NA,NA,NA,NA,NA,Lake Erie,174.06,Lake,OH,NCCAGL10-1161,41.43843,-82.92615,NA,NA,Pisces,Channel catfish,Channel catfish,Tertiary Consumer,Composite fillet,Muscle,Yes,1,5,6/15/10,Summer,2010,4.2,NA,NA,0.054763152,0.55,1.5,0.44,NA,NA,NA
#34 GLHHFTS (2010),560025,34,NA,NA,NA,NA,NA,NA,NA,Lake Erie,174.06,Lake,OH,NCCAGL10-1169,41.46351,-82.92911,NA,NA,Pisces,Channel catfish,Channel catfish,Tertiary Consumer,Composite fillet,Muscle,Yes,1,5,6/15/10,Summer,2010,16,NA,NA,0.1,1,1.5,0.77,NA,NA,NA
#34 GLHHFTS (2010),560030,64.5,NA,NA,NA,NA,NA,NA,NA,Lake Erie,174.06,Lake,OH,NCCAGL10-1141,41.50063,-82.21454,NA,NA,Pisces,Walleye,Walleye,Quaternary Consumer,Fillet,Muscle,No,1,1,6/9/10,Summer,2010,39,NA,NA,1.4,2.7,2.4,0.74,NA,NA,NA
#34 GLHHFTS (2010),560031,32.63333333,NA,NA,NA,NA,NA,NA,NA,Lake Erie,174.06,Lake,OH,NCCAGL10-1174,41.50192,-82.13009,NA,NA,Pisces,Walleye,Walleye,Quaternary Consumer,Composite fillet,Muscle,Yes,1,3,7/1/10,Summer,2010,36,NA,NA,0.7,2,1.4,0.75,NA,NA,NA
#34 GLHHFTS (2010),560029,51,NA,NA,NA,NA,NA,NA,NA,Lake Erie,174.06,Lake,OH,NCCAGL10-2140,41.50642,-82.15552,NA,NA,Pisces,Walleye,Walleye,Quaternary Consumer,Fillet,Muscle,No,1,1,7/1/10,Summer,2010,20,NA,NA,0.33,1.1,0.98,0.53,NA,NA,NA
#34 GLHHFTS (2010),560035,50.1,NA,NA,NA,NA,NA,NA,NA,Lake Erie,174.06,Lake,OH,NCCAGL10-1137,41.51047,-82.13911,NA,NA,Pisces,Walleye,Walleye,Quaternary Consumer,Fillet,Muscle,No,1,1,6/22/10,Summer,2010,29,NA,NA,0.67,2.7,1.9,0.61,NA,NA,NA
#34 GLHHFTS (2010),560097,54,NA,NA,NA,NA,NA,NA,NA,Lake Erie,174.06,Lake,OH,NCCAGL10-1179,41.51697,-82.17261,NA,NA,Pisces,Walleye,Walleye,Quaternary Consumer,Fillet,Muscle,No,1,1,7/1/10,Summer,2010,25,NA,NA,0.31,1.8,1.6,0.6,NA,NA,NA
#34 GLHHFTS (2010),560095,18.87,NA,NA,NA,NA,NA,NA,NA,Lake Erie,174.06,Lake,OH,NCCAGL10-1149,41.56669,-82.7652,NA,NA,Pisces,Yellow perch,Yellow perch,Tertiary Consumer,Composite fillet,Muscle,Yes,1,10,6/23/10,Summer,2010,50,NA,NA,0.38,0.89,1.2,0.6,NA,NA,NA
#34 GLHHFTS (2010),560040,48.75,NA,NA,NA,NA,NA,NA,NA,Lake Erie,174.06,Lake,OH,NCCAGL10-1144,41.63394,-83.16825,NA,NA,Pisces,Freshwater drum,Freshwater drum,Secondary Consumer,Composite fillet,Muscle,Yes,1,4,6/25/10,Summer,2010,7.5,NA,NA,0.066945969,0.51,0.083655146,0.31,NA,NA,NA
#34 GLHHFTS (2010),560036,18.75,NA,NA,NA,NA,NA,NA,NA,Lake Erie,174.06,Lake,OH,NCCAGL10-1157,41.71204,-83.24907,NA,NA,Pisces,Yellow perch,Yellow perch,Tertiary Consumer,Composite fillet,Muscle,Yes,1,10,6/18/10,Summer,2010,61,NA,NA,0.63,1.3,1.3,0.69,NA,NA,NA
#34 GLHHFTS (2010),560026,32,NA,NA,NA,NA,NA,NA,NA,Lake Erie,174.06,Lake,OH,NCCAGL10-1163,41.73072,-83.44522,NA,NA,Pisces,Channel catfish,Channel catfish,Tertiary Consumer,Composite fillet,Muscle,Yes,1,3,6/7/10,Summer,2010,5,NA,NA,0.05499723,0.38,0.091496127,0.41,NA,NA,NA
#34 GLHHFTS (2010),560135,47,NA,NA,NA,NA,NA,NA,NA,Lake Erie,174.06,Lake,OH,NCCAGL10-1178,41.74465,-81.39602,NA,NA,Pisces,Walleye,Walleye,Quaternary Consumer,Fillet,Muscle,No,1,1,8/10/10,Summer,2010,37,NA,NA,0.78,2.4,2.7,1.9,NA,NA,NA
#34 GLHHFTS (2010),560096,32.35,NA,NA,NA,NA,NA,NA,NA,Lake Erie,174.06,Lake,OH,NCCAGL10-1136,41.74625,-83.37917,NA,NA,Pisces,Freshwater drum,Freshwater drum,Secondary Consumer,Composite fillet,Muscle,Yes,1,2,8/10/10,Summer,2010,31,NA,NA,0.93,2.8,2.2,1.4,NA,NA,NA
#34 GLHHFTS (2010),560137,60.95,NA,NA,NA,NA,NA,NA,NA,Lake Erie,174.06,Lake,OH,NCCAGL10-1165,41.86898,-81.10047,NA,NA,Pisces,Walleye,Walleye,Quaternary Consumer,Composite fillet,Muscle,Yes,1,2,8/11/10,Summer,2010,45,NA,NA,1.2,3,1.6,1.7,NA,NA,NA
#34 GLHHFTS (2010),560169,70.3,NA,NA,NA,NA,NA,NA,NA,Lake Michigan,176.11,Lake,WI,NCCAGL10-1048,42.6147,-87.81058,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Fillet,Muscle,No,1,1,8/21/10,Summer,2010,15,NA,NA,0.045610182,0.47,0.96,0.09536997,NA,NA,NA
#34 GLHHFTS (2010),560180,60.1,NA,NA,NA,NA,NA,NA,NA,Lake Michigan,176.11,Lake,WI,NCCAGL10-1081,43.04134,-87.86151,NA,NA,Pisces,Coho salmon,Coho salmon,Quaternary Consumer,Fillet,Muscle,No,1,1,8/22/10,Summer,2010,19,NA,NA,0.067558262,0.045747677,0.089444277,0.102390655,NA,NA,NA
#34 GLHHFTS (2010),560150,70.2,NA,NA,NA,NA,NA,NA,NA,Lake Michigan,176.11,Lake,WI,NCCAGL10-1059,43.32892,-87.86407,NA,NA,Pisces,Chinook salmon,Chinook salmon,Quaternary Consumer,Fillet,Muscle,No,1,1,8/23/10,Summer,2010,8,NA,NA,0.3,0.49,0.85,0.35,NA,NA,NA
#34 GLHHFTS (2010),560211,65,NA,NA,NA,NA,NA,NA,NA,Lake Michigan,176.11,Lake,WI,NCCAGL10-1071,43.71907,-87.65705,NA,NA,Pisces,Chinook salmon,Chinook salmon,Quaternary Consumer,Fillet,Muscle,No,1,1,8/24/10,Summer,2010,17,NA,NA,0.062114776,0.36,0.52,0.094626942,NA,NA,NA
#34 GLHHFTS (2010),560177,87,NA,NA,NA,NA,NA,NA,NA,Lake Michigan,176.11,Lake,WI,NCCAGL10-1082,44.01482,-87.62677,NA,NA,Pisces,Chinook salmon,Chinook salmon,Quaternary Consumer,Fillet,Muscle,No,1,1,8/25/10,Summer,2010,14,NA,NA,0.048946951,0.33,0.085905946,0.103440685,NA,NA,NA
#34 GLHHFTS (2010),560208,43.5,NA,NA,NA,NA,NA,NA,NA,Lake Michigan,176.11,Lake,WI,NCCAGL10-1075,44.69307,-87.76815,NA,NA,Pisces,Channel catfish,Channel catfish,Tertiary Consumer,Fillet,Muscle,No,1,1,9/29/10,Summer,2010,5,NA,NA,0.060425051,0.71,0.8,0.54,NA,NA,NA
#34 GLHHFTS (2010),560248,46.15,NA,NA,NA,NA,NA,NA,NA,Lake Superior,183.15,Lake,WI,NCCAGL10-1044,46.61594,-90.5517,NA,NA,Pisces,Longnose sucker,Longnose sucker,Secondary Consumer,Composite fillet,Muscle,Yes,1,2,9/10/10,Summer,2010,4.6,NA,NA,3.6,1.9,4.2,1.1,NA,NA,NA
#34 GLHHFTS (2010),560251,48.95,NA,NA,NA,NA,NA,NA,NA,Lake Superior,183.15,Lake,WI,NCCAGL10-1013,46.6728,-90.81696,NA,NA,Pisces,Longnose sucker,Longnose sucker,Secondary Consumer,Composite fillet,Muscle,Yes,1,2,9/9/10,Summer,2010,7.9,NA,NA,0.064615151,0.71,1.6,0.111812915,NA,NA,NA
#34 GLHHFTS (2010),560250,40.85,NA,NA,NA,NA,NA,NA,NA,Lake Superior,183.15,Lake,WI,NCCAGL10-1033,46.67815,-90.78103,NA,NA,Pisces,White sucker,White sucker,Secondary Consumer,Composite fillet,Muscle,Yes,1,2,9/10/10,Summer,2010,2.7,NA,NA,0.38,0.31,0.76,0.21,NA,NA,NA
#34 GLHHFTS (2010),560182,60.8,NA,NA,NA,NA,NA,NA,NA,Lake Superior,183.15,Lake,WI,NCCAGL10-1041,46.71701,-91.99021,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Composite fillet,Muscle,Yes,1,4,9/1/10,Summer,2010,21,NA,NA,0.060338333,0.050314876,0.077663308,0.0862321,NA,NA,NA
#34 GLHHFTS (2010),560189,36.28,NA,NA,NA,NA,NA,NA,NA,Lake Superior,183.15,Lake,WI,NCCAGL10-1019,46.72925,-91.78798,NA,NA,Pisces,Round whitefish,Round whitefish,Tertiary Consumer,Composite fillet,Muscle,Yes,1,5,9/1/10,Summer,2010,9.9,NA,NA,0.53,0.23,0.36,0.12,NA,NA,NA
#34 GLHHFTS (2010),560183,32.28,NA,NA,NA,NA,NA,NA,NA,Lake Superior,183.15,Lake,WI,NCCAGL10-1005,46.77051,-91.62224,NA,NA,Pisces,Round whitefish,Round whitefish,Tertiary Consumer,Composite fillet,Muscle,Yes,1,5,9/1/10,Summer,2010,12,NA,NA,0.69,0.21,0.38,0.105332841,NA,NA,NA
#34 GLHHFTS (2010),560079,35.42,NA,NA,NA,NA,NA,NA,NA,Lake Superior,183.15,Lake,WI,NCCAGL10-1028,46.81943,-91.33555,NA,NA,Pisces,Round whitefish,Round whitefish,Tertiary Consumer,Composite fillet,Muscle,Yes,1,5,9/18/10,Summer,2010,16,NA,NA,1.8,0.67,1.1,0.28,NA,NA,NA
#34 GLHHFTS (2010),560236,35.12,NA,NA,NA,NA,NA,NA,NA,Lake Superior,183.15,Lake,WI,NCCAGL10-1009,46.95817,-90.84602,NA,NA,Pisces,Round whitefish,Round whitefish,Tertiary Consumer,Composite fillet,Muscle,Yes,1,5,9/14/10,Summer,2010,8.6,NA,NA,0.050391301,0.048740569,0.093010826,0.093356878,NA,NA,NA
#34 GLHHFTS (2015),793374,45.75,NA,NA,NA,NA,NA,NA,NA,Lake Erie,174.32,Lake,NY,GLNS15-1154,42.73212,-78.97097,NA,NA,Pisces,Smallmouth bass,Smallmouth bass,Quaternary Consumer,Composite fillet,Muscle,Yes,1,2,8/10/15,Summer,2015,19.2,NA,NA,0.103553135,1.96,4.42,1.29,NA,NA,NA
#34 GLHHFTS (2015),793434,41.5,NA,NA,NA,NA,NA,NA,NA,Lake Erie,174.32,Lake,NY,GLNS15-1155,42.53829,-79.27533,NA,NA,Pisces,Smallmouth bass,Smallmouth bass,Quaternary Consumer,Composite fillet,Muscle,Yes,1,2,8/28/15,Summer,2015,18.6,NA,NA,0.090941419,2.26,5.29,1.81,NA,NA,NA
#34 GLHHFTS (2015),793314,45.6,NA,NA,NA,NA,NA,NA,NA,Lake Erie,174.32,Lake,NY,GLNS15-1158,42.68146,-79.08613,NA,NA,Pisces,Walleye,Walleye,Quaternary Consumer,Composite fillet,Muscle,Yes,1,2,7/20/15,Summer,2015,18.7,NA,NA,0.36,1.24,1.02,0.36,NA,NA,NA
#34 GLHHFTS (2015),806054,64.6,NA,NA,NA,NA,NA,NA,NA,Lake Erie,174.32,Lake,NY,GLNS15-1166,42.50444,-79.38348,NA,NA,Pisces,Freshwater drum,Freshwater drum,Secondary Consumer,Fillet,Muscle,No,1,1,8/27/15,Summer,2015,6.14,NA,NA,0.15,0.59,0.59,0.22,NA,NA,NA
#34 GLHHFTS (2015),806614,38.78,NA,NA,NA,NA,NA,NA,NA,Lake Erie,174.32,Lake,NY,GLNS15-2139,42.63452,-79.11702,NA,NA,Pisces,Smallmouth bass,Smallmouth bass,Quaternary Consumer,Composite fillet,Muscle,Yes,1,5,9/1/15,Summer,2015,31.1,NA,NA,0.094810305,2.44,2.47,0.91,NA,NA,NA
#34 GLHHFTS (2015),806592,35.95,NA,NA,NA,NA,NA,NA,NA,Lake Erie,174.32,Lake,NY,GLNS15-2141,42.54468,-79.32787,NA,NA,Pisces,White bass,White bass,Quaternary Consumer,Composite fillet,Muscle,Yes,1,2,8/31/15,Summer,2015,45.5,NA,NA,1.38,2.72,1.85,0.64,NA,NA,NA
#34 GLHHFTS (2015),793394,32.65,NA,NA,NA,NA,NA,NA,NA,Lake Erie,174.32,Lake,NY,GLNS15-2143,42.73754,-78.94866,NA,NA,Pisces,Smallmouth bass,Smallmouth bass,Quaternary Consumer,Composite fillet,Muscle,Yes,1,2,8/10/15,Summer,2015,15.6,NA,NA,0.07286299,1.44,2.43,0.82,NA,NA,NA
#34 GLHHFTS (2015),793414,38.2,NA,NA,NA,NA,NA,NA,NA,Lake Erie,174.32,Lake,NY,GLNS15-2152,42.27493,-79.75375,NA,NA,Pisces,Smallmouth bass,Smallmouth bass,Quaternary Consumer,Fillet,Muscle,No,1,1,9/2/15,Summer,2015,30.2,NA,NA,0.092842104,2.17,2.45,1.15,NA,NA,NA
#34 GLHHFTS (2015),776854,30.1,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-1288,43.96827,-76.1154,NA,NA,Pisces,White perch,White perch,Tertiary Consumer,Composite fillet,Muscle,Yes,1,5,8/6/15,Summer,2015,56.5,NA,NA,0.39,2.74,3.36,1.14,NA,NA,NA
#34 GLHHFTS (2015),776794,50.75,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-1289,43.9136,-76.18341,NA,NA,Pisces,Walleye,Walleye,Quaternary Consumer,Composite fillet,Muscle,Yes,1,2,7/26/15,Summer,2015,57.3,NA,NA,0.4,1.29,1.29,0.48,NA,NA,NA
#34 GLHHFTS (2015),805514,52.43333333,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-1290,43.3582,-78.70273,NA,NA,Pisces,Rainbow trout,Rainbow trout,Quaternary Consumer,Composite fillet,Muscle,Yes,1,3,9/22/15,Summer,2015,25.9,NA,NA,0.071836605,0.44,0.23,0.11,NA,NA,NA
#34 GLHHFTS (2015),775714,70.875,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-1291,43.33797,-77.67321,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Composite fillet,Muscle,Yes,1,4,9/22/15,Summer,2015,33,NA,NA,0.28,0.71,0.64,0.27,NA,NA,NA
#34 GLHHFTS (2015),776754,62.2,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-1292,43.50622,-76.48772,NA,NA,Pisces,Coho salmon,Coho salmon,Quaternary Consumer,Composite fillet,Muscle,Yes,1,2,9/24/15,Summer,2015,19.7,NA,NA,0.22,0.122566279,0.120790159,0.075462281,NA,NA,NA
#34 GLHHFTS (2015),777794,48.9,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-1293,43.91219,-76.28412,NA,NA,Pisces,Smallmouth bass,Smallmouth bass,Quaternary Consumer,Composite fillet,Muscle,Yes,1,2,8/7/15,Summer,2015,53.3,NA,NA,0.094788419,2.42,5.7,1.69,NA,NA,NA
#34 GLHHFTS (2015),775494,54.4,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-1294,43.31197,-78.889,NA,NA,Pisces,Chinook salmon,Chinook salmon,Quaternary Consumer,Fillet,Muscle,No,1,1,9/17/15,Summer,2015,35.7,NA,NA,0.23,0.53,0.32,0.11,NA,NA,NA
#34 GLHHFTS (2015),780834,62.7,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-1295,43.2548,-77.48873,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Fillet,Muscle,No,1,1,6/26/15,Summer,2015,25.8,NA,NA,0.21,1.04,1.32,0.32,NA,NA,NA
#34 GLHHFTS (2015),777854,58.75,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-1296,43.58759,-76.25065,NA,NA,Pisces,Coho salmon,Coho salmon,Quaternary Consumer,Composite fillet,Muscle,Yes,1,2,9/25/15,Summer,2015,13.9,NA,NA,0.076972336,0.143472151,0.132570898,0.060846069,NA,NA,NA
#34 GLHHFTS (2015),805674,57.55,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-1297,44.07588,-76.377,NA,NA,Pisces,Channel catfish,Channel catfish,Tertiary Consumer,Composite fillet,Muscle,Yes,1,2,8/7/15,Summer,2015,9.43,NA,NA,0.087168555,1.35,2.16,0.87,NA,NA,NA
#34 GLHHFTS (2015),793014,73.86666667,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-1298,43.38127,-78.08532,NA,NA,Pisces,Rainbow trout,Rainbow trout,Quaternary Consumer,Composite fillet,Muscle,Yes,1,3,9/24/15,Summer,2015,22.5,NA,NA,0.23,0.38,0.22,0.12,NA,NA,NA
#34 GLHHFTS (2015),777814,67.6,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-1299,43.43145,-76.62718,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Fillet,Muscle,No,1,1,9/19/15,Summer,2015,22.5,NA,NA,0.076712674,0.10771038,0.21,0.074409651,NA,NA,NA
#34 GLHHFTS (2015),776574,77.1,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-1300,43.80338,-76.25182,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Fillet,Muscle,No,1,1,9/9/15,Summer,2015,8.88,NA,NA,0.066195139,0.095014007,0.1426197,0.064123876,NA,NA,NA
#34 GLHHFTS (2015),795774,45.65,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-1301,44.00532,-76.18596,NA,NA,Pisces,Smallmouth bass,Smallmouth bass,Quaternary Consumer,Composite fillet,Muscle,Yes,1,2,8/4/15,Summer,2015,30.5,NA,NA,0.100107493,1.35,3.68,1.2,NA,NA,NA
#34 GLHHFTS (2015),780894,70.25,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-1302,43.36138,-77.93097,NA,NA,Pisces,Rainbow trout,Rainbow trout,Quaternary Consumer,Composite fillet,Muscle,Yes,1,2,9/24/15,Summer,2015,3.55,NA,NA,0.069015817,0.122477451,0.139377426,0.066764001,NA,NA,NA
#34 GLHHFTS (2015),780874,54.55,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-1303,43.31913,-76.87901,NA,NA,Pisces,Rainbow trout,Rainbow trout,Quaternary Consumer,Composite fillet,Muscle,Yes,1,2,10/17/15,Summer,2015,25.5,NA,NA,0.19,0.42,0.24,0.070000867,NA,NA,NA
#34 GLHHFTS (2015),776834,64.5,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-2185,43.34855,-78.79364,NA,NA,Pisces,Chinook salmon,Chinook salmon,Quaternary Consumer,Fillet,Muscle,No,1,1,9/17/15,Summer,2015,15.5,NA,NA,0.12,0.19,0.099000508,0.070324022,NA,NA,NA
#34 GLHHFTS (2015),780974,62.2,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-2186,43.30371,-77.03286,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Fillet,Muscle,No,1,1,9/18/15,Summer,2015,23.4,NA,NA,0.12,0.23,0.126718313,0.061319822,NA,NA,NA
#34 GLHHFTS (2015),775574,80.7,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-2187,43.28458,-77.59522,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Fillet,Muscle,No,1,1,9/16/15,Summer,2015,11.2,NA,NA,0.19,0.33,0.22,0.078690344,NA,NA,NA
#34 GLHHFTS (2015),805634,61.9,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-2188,44.07005,-76.3923,NA,NA,Pisces,Walleye,Walleye,Quaternary Consumer,Composite fillet,Muscle,Yes,1,2,8/5/15,Summer,2015,34.7,NA,NA,0.26,0.74,0.78,0.16,NA,NA,NA
#34 GLHHFTS (2015),775674,55.73333333,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-2189,43.3668,-78.59714,NA,NA,Pisces,Rainbow trout,Rainbow trout,Quaternary Consumer,Composite fillet,Muscle,Yes,1,3,9/22/15,Summer,2015,21.7,NA,NA,0.16,0.41,0.24,0.056034932,NA,NA,NA
#34 GLHHFTS (2015),780954,74.5,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-2190,43.32406,-76.80657,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Fillet,Muscle,No,1,1,9/24/15,Summer,2015,6.1,NA,NA,0.15,0.25,0.126381301,0.069867897,NA,NA,NA
#34 GLHHFTS (2015),775594,53.8,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-2191,43.31264,-77.66985,NA,NA,Pisces,Brown trout,Brown trout,Quaternary Consumer,Composite fillet,Muscle,Yes,1,5,9/23/15,Summer,2015,46.2,NA,NA,0.38,1.2,1.55,0.68,NA,NA,NA
#34 GLHHFTS (2015),780994,30.72,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-2192,44.04449,-76.23753,NA,NA,Pisces,Smallmouth bass,Smallmouth bass,Quaternary Consumer,Composite fillet,Muscle,Yes,1,5,8/5/15,Summer,2015,20.9,NA,NA,0.093814039,1.54,2.12,0.57,NA,NA,NA
#34 GLHHFTS (2015),775454,77,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-2193,43.37343,-78.00236,NA,NA,Pisces,Brown trout,Brown trout,Quaternary Consumer,Fillet,Muscle,No,1,1,9/2/15,Summer,2015,16.6,NA,NA,0.059575706,0.58,0.8,0.3,NA,NA,NA
#34 GLHHFTS (2015),777874,78.05,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-2194,43.54976,-76.331,NA,NA,Pisces,Chinook salmon,Chinook salmon,Quaternary Consumer,Composite fillet,Muscle,Yes,1,2,9/24/15,Summer,2015,27.7,NA,NA,0.16,0.39,0.21,0.078937572,NA,NA,NA
#34 GLHHFTS (2015),780794,48.1,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-2195,43.3015,-77.36346,NA,NA,Pisces,Smallmouth bass,Smallmouth bass,Quaternary Consumer,Fillet,Muscle,No,1,1,6/24/15,Summer,2015,35.2,NA,NA,0.15,1.61,1.81,0.72,NA,NA,NA
#34 GLHHFTS (2015),795734,47.2,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-2196,43.98062,-76.22676,NA,NA,Pisces,Smallmouth bass,Smallmouth bass,Quaternary Consumer,Composite fillet,Muscle,Yes,1,2,8/6/15,Summer,2015,45.3,NA,NA,0.106630276,1.7,3.42,1.45,NA,NA,NA
#34 GLHHFTS (2015),805594,66.93333333,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-2197,43.39043,-78.31651,NA,NA,Pisces,Rainbow trout,Rainbow trout,Quaternary Consumer,Composite fillet,Muscle,Yes,1,3,9/23/15,Summer,2015,23.6,NA,NA,0.26,0.48,0.3,0.076872581,NA,NA,NA
#34 GLHHFTS (2015),776734,44.25,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-2198,43.45515,-76.5947,NA,NA,Pisces,Smallmouth bass,Smallmouth bass,Quaternary Consumer,Composite fillet,Muscle,Yes,1,2,7/23/15,Summer,2015,53.4,NA,NA,0.3,1.77,1.61,0.48,NA,NA,NA
#34 GLHHFTS (2015),776354,74.5,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-2199,43.76225,-76.21927,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Fillet,Muscle,No,1,1,9/18/15,Summer,2015,38.8,NA,NA,0.24,0.39,0.33,0.24,NA,NA,NA
#34 GLHHFTS (2015),795714,72,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-2200,43.95943,-76.18538,NA,NA,Pisces,Northern pike,Northern pike,Quaternary Consumer,Fillet,Muscle,No,1,1,10/14/15,Summer,2015,22,NA,NA,0.31,0.99,1.01,0.37,NA,NA,NA
#34 GLHHFTS (2015),776614,82,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.74,Lake,NY,GLNS15-2201,43.3758,-76.73319,NA,NA,Pisces,Chinook salmon,Chinook salmon,Quaternary Consumer,Fillet,Muscle,No,1,1,10/16/15,Summer,2015,36.5,NA,NA,0.077595158,0.47,0.43,0.16,NA,NA,NA
#34 GLHHFTS (2015),777114,37.06666667,NA,NA,NA,NA,NA,NA,NA,Lake Erie,174.32,Lake,PA,GLNS15-1162,42.21606,-79.90829,NA,NA,Pisces,Freshwater drum,Freshwater drum,Secondary Consumer,Composite fillet,Muscle,Yes,1,3,9/9/15,Summer,2015,20.3,NA,NA,0.35,2.45,3.03,0.9,NA,NA,NA
#34 GLHHFTS (2015),777094,34.25,NA,NA,NA,NA,NA,NA,NA,Lake Erie,174.32,Lake,PA,GLNS15-2148,42.21477,-79.98688,NA,NA,Pisces,Freshwater drum,Freshwater drum,Secondary Consumer,Composite fillet,Muscle,Yes,1,2,7/8/15,Summer,2015,46.7,NA,NA,0.42,2.9,3.65,1.35,NA,NA,NA
#34 GLHHFTS (2015),778474,21.96,NA,NA,NA,NA,NA,NA,NA,Lake Michigan,176.59,Lake,IN,GLNS15-2051,41.69124,-87.47798,NA,NA,Pisces,Yellow perch,Yellow perch,Tertiary Consumer,Composite fillet,Muscle,Yes,1,5,8/5/15,Summer,2015,12.5,NA,NA,0.070877189,0.83,1.04,0.56,NA,NA,NA
#34 GLHHFTS (2015),776254,25.66,NA,NA,NA,NA,NA,NA,NA,Lake Erie,174.32,Lake,MI,GLNS15-1156,41.85549,-83.37181,NA,NA,Pisces,White perch,White perch,Tertiary Consumer,Composite fillet,Muscle,Yes,1,5,6/7/15,Summer,2015,64.4,NA,NA,0.17,5.07,3.99,1.06,NA,NA,NA
#34 GLHHFTS (2015),795874,36.3875,NA,NA,NA,NA,NA,NA,NA,Lake Erie,174.32,Lake,MI,GLNS15-1164,41.97839,-83.22607,NA,NA,Pisces,White bass,White bass,Quaternary Consumer,Composite fillet,Muscle,Yes,1,4,8/10/15,Summer,2015,50.9,NA,NA,1.81,4.15,3.8,1.68,NA,NA,NA
